RegionID,VoronoiVolume,TotalFiberVolume,FiberVolumeFrac,FiberIndices,FiberLengthsInside,FiberP1_inside,FiberP2_inside,MinCorner,CuboidSize,
1,17576.62,812.126571,0.04620493,"15, 38","1.7798, 14.3769","[-50.0000 -43.6991 -33.7284], [-49.8289 -40.3898 -42.3517]","[-48.2320 -43.7957 -33.5476], [-37.7558 -48.0588 -40.8950]",[-58.000 -55.950 -50.000],[28.073 23.669 26.452],
3,72659.5737,3996.076911,0.05499725,"37, 47, 51, 68, 106","23.9972, 25.1482, 23.7008, 4.8147, 1.8384","[29.8482 -27.4804 -42.7935], [19.5991 -37.4535 -49.9195], [2.1959 -32.8695 -47.2234], [5.1963 -40.2867 -41.4167], [38.4348 -28.0652 -48.9667]","[50.0000 -40.2811 -40.3620], [32.5827 -43.6013 -29.2782], [22.4445 -25.8072 -37.1313], [9.9249 -39.3946 -41.5787], [40.2729 -28.0686 -48.9989]",[-3.735 -51.601 -57.919],[61.735 32.121 36.641],
5,48031.1296,3741.521848,0.07789785,"6, 81, 105, 119, 138, 142","8.2889, 11.5371, 18.4772, 19.258, 0.5338, 16.3402","[-41.6868 -27.9764 -33.6854], [-42.5921 -10.7764 -40.6884], [-50.0000 -28.0864 -49.1693], [-50.9933 -7.9537 -33.2757], [-34.9385 -11.7402 -32.0878], [-50.5153 -19.1941 -43.6946]","[-33.5522 -26.4290 -33.3122], [-31.4534 -9.7743 -43.5222], [-31.5257 -28.1202 -49.4929], [-32.6762 -2.4514 -35.5297], [-34.5870 -11.5874 -32.4593], [-35.1288 -24.2293 -41.4797]",[-58.000 -36.120 -57.493],[34.547 39.870 34.872],
6,88427.7672,5659.353902,0.06399974,"6, 33, 37, 81, 105, 119","39.6685, 7.0802, 2.5292, 26.3726, 0.4352, 37.2252","[-33.5522 -26.4290 -33.3122], [-30.3370 2.3431 -46.5766], [2.0663 -9.8331 -46.1456], [-31.4534 -9.7743 -43.5222], [-31.5257 -28.1202 -49.4929], [-32.4279 -3.8535 -36.9342]","[5.3780 -19.0237 -31.5264], [-24.5430 0.1435 -50.0000], [4.1902 -11.1822 -45.8893], [-5.9916 -7.4836 -50.0000], [-31.0906 -28.1210 -49.5005], [2.2923 6.5762 -41.2068]",[-41.552 -36.121 -58.000],[54.930 46.697 34.474],
8,33233.8001,1582.802442,0.04762629,"88, 106, 120, 141","1.6376, 9.7286, 9.6861, 10.4366","[40.5877 2.5870 -44.9165], [40.2729 -28.0686 -48.9989], [40.7872 -16.3294 -37.7600], [39.3996 -17.3818 -46.5105]","[42.1700 2.8599 -44.5946], [50.0000 -28.0864 -49.1693], [50.0000 -13.5619 -38.8937], [49.2270 -20.5978 -45.0958]",[32.173 -36.086 -57.169],[25.827 46.946 27.409],
9,68736.753,4521.59143,0.06578128,"33, 46, 56, 89, 92, 98, 125, 154","8.8505, 16.1511, 10.6347, 8.6225, 18.7123, 13.7441, 4.6627, 8.5763","[-37.5798 5.0927 -42.2972], [-46.4252 18.3858 -46.8973], [-40.0736 12.1160 -29.6480], [-51.0198 10.1230 -43.0017], [-51.5909 22.0242 -40.2205], [-51.7132 29.9799 -38.3933], [-50.0000 39.1088 -43.6476], [-50.7380 0.1763 -49.0027]","[-30.3370 2.3431 -46.5766], [-30.8548 14.1578 -47.6365], [-32.1398 11.1295 -36.6606], [-42.6885 11.5599 -41.3068], [-33.2671 22.4578 -36.4522], [-38.2091 32.3281 -37.3805], [-45.6947 40.8591 -43.2717], [-42.7757 -1.3183 -46.1882]",[-58.000 -5.657 -57.003],[35.663 54.516 35.355],
10,27482.79444,5196.696846,0.189089099,"22, 42, 46, 55, 92, 97","1.5801, 20.8499, 13.1759, 37.452, 15.8745, 14.4526","[1.4388 41.0404 -33.0498], [-17.4160 15.7442 -29.6652], [-30.8548 14.1578 -47.6365], [-32.9586 32.8307 -45.3763], [-31.6762 15.4224 -43.3784], [-10.6296 9.5846 -42.9403]","[2.5619 40.2373 -32.2816], [-0.0262 4.9996 -33.7720], [-18.1527 10.7087 -48.2395], [4.4355 31.7063 -47.1278], [-16.1312 15.7902 -40.1816], [3.5706 12.0539 -41.8753]",[-32.959 5.000 -50.000],[37.394 36.041 20.392],
14,35071.8073,1874.170457,0.05343809,"22, 39, 132","17.6263, 14.6997, 4.9593","[-11.0902 50.0000 -41.6195], [-34.6997 50.0000 -38.5159], [-32.7867 49.2276 -29.5532]","[1.4388 41.0404 -33.0498], [-22.3555 42.1588 -37.0264], [-30.3933 53.2890 -31.0931]",[-42.700 33.040 -50.000],[52.139 24.960 26.950],
15,19203.1771,1353.94405,0.07050625,"77, 128","11.7125, 15.2233","[37.0903 44.1513 -47.4071], [19.4248 36.9992 -49.8448]","[48.5109 44.3239 -50.0000], [34.2728 38.6418 -52.7755]",[11.655 31.870 -58.000],[44.856 20.454 20.931],
17,59925.2649,2613.167926,0.04360712,"1, 15, 27, 70, 116, 158","4.4309, 14.5186, 5.7607, 6.581, 9.0552, 11.6409","[-50.0000 -30.5755 -2.0813], [-48.2320 -43.7957 -33.5476], [-38.3590 -47.0917 -9.2217], [-50.0000 -30.9187 -20.3942], [-52.1207 -48.7580 -7.3382], [-43.3557 -39.6679 -13.4437]","[-46.5470 -31.4217 0.5633], [-33.8100 -44.5840 -32.0729], [-33.4214 -46.4101 -6.3336], [-43.5462 -29.8285 -19.7089], [-44.7102 -53.3916 -9.7069], [-34.6804 -32.3509 -16.0342]",[-58.000 -58.000 -41.548],[32.579 36.707 50.111],
